Toll Name,Detection time,Picture Time,Violation,Plate_1st_Recong,vehicle_model,is_target,LaneNr,Cross_lane,AVC,Axle_car_type,Width,Height,axle_length,Axle Number,Axle Begin Time
NH44P01SP,22:47:03.624,22:47:04.200,1,HR58D2248,"MARUTI SUZUKI INDIA LTD, ERTIGA VXI (O) CNG",否,2,-1,8,0,1117,1392,0,0,
NH44P01SP,07:24:48.182,07:24:48.345,1,HR45E8919,"BAJAJ, BAJAJ MAXIMA CARGO CNG",是,3,-1,8,0,1318,1626,0,0,
NH44P01SP,22:48:18.480,,1,,,跳過,3,2,8,0,1404,1428,0,0,
NH44P01SP,07:34:05.747,07:34:06.000,1,0,,跳過,3,-1,8,0,1212,1466,0,0,
NH44P01SP,23:20:58.366,23:20:58.600,1,0,,跳過,2,-1,8,0,1282,1779,0,0,
NH44P01SP,07:35:09.625,07:35:09.800,1,HR05AB6668,"GENERAL MOTORS INDIA PVT LTD, CHEVROLET SPARK LS",否,2,1,8,0,1406,1331,0,0,
NH44P01SP,07:36:01.762,07:36:01.931,1,0,,跳過,2,3,8,0,1340,1863,0,0,
le_20260513_23-37-47.750.jpg,23:37:47.210,/RSUData/T0RawData/20260513/NH44P01SP/enforcement/3/23/20260513_23-37-47.210.jpg,,,,,,,,,,,,,
NH44P01SP,00:15:57.352,00:15:57.200,1,HR40K9936,"MARUTI SUZUKI INDIA LTD, S-PRESSO VXI (O) CNG",否,2,1,8,0,1442,1380,0,0,
NH44P01SP,07:37:13.665,,1,,,跳過,3,2,8,0,1314,1347,0,0,
O LTD," BAJAJ MAXIMA CNG""",是,2,1,8,0,1442,1612,0,0,,,16:01.6,/RSUData/T0RawData/20260514/NH44P01SP/enforcement/2/0/20260514_00-16-01.600.jpg,
NH44P01SP,00:17:07.068,00:17:06.800,1,HR067853,HR-06,否,1,2,8,0,1442,1388,0,0,
NH44P01SP,07:43:03.564,07:43:03.800,1,HR55AR3511,"BAJAJ, BAJAJ RE CNG 4S FI",是,2,-1,8,1,1416,1511,2457,2,43:04.6
NH44P01SP,00:21:07.481,00:21:07.400,0,DL8CBJ3236,"TOYOTA, TOYOTA RUMION V PETROL [AT]",否,2,-1,8,1,1750,1552,2016,2,21:08.0
NH44P01SP,07:43:57.664,07:43:57.800,1,HR45C0252,"ATUL AUTO LTD, ATUL GEM (1+3)",是,3,2,8,0,1404,1827,0,0,
NH44P01SP,00:29:58.079,00:29:58.388,1,DL1LAN8107,"TATA MOTORS LTD, 709G LPT DCR39CBC 85B6M5 TT",否,2,1,8,1,3131,3285,2952,2,29:58.9
NH44P01SP,07:52:40.224,07:52:40.411,1,HR56C3066,"BAJAJ AUTO LTD, BAJAJ MAXIMA Z CNG",是,3,-1,8,0,1358,1685,0,0,
NH44P01SP,00:42:03.280,,1,,,跳過,1,2,8,0,1404,1337,0,0,
NH44P01SP,00:46:45.602,00:46:46.000,1,0,,跳過,1,-1,8,0,1352,1299,0,0,
NH44P01SP,07:53:15.976,07:53:16.200,1,0,,跳過,2,-1,8,0,1252,1882,0,0,
NH44P01SP,00:48:20.798,00:48:20.800,1,DL12CU0696,"MARUTI SUZUKI INDIA LTD, EECO 5 STR AC CNG",否,1,-1,8,0,1368,1641,0,0,
NH44P01SP,07:56:13.882,,1,,,跳過,1,2,8,0,1378,1302,0,0,
NH44P01SP,01:58:29.373,01:58:29.400,1,HR06BK3644,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI",否,2,-1,8,0,1434,1327,0,0,
NH44P01SP,07:58:17.236,,1,,,跳過,2,3,8,0,1350,1824,0,0,
NH44P01SP,02:19:29.018,02:19:29.209,1,DL3CCK3994,"MARUTI SUZUKI INDIA LTD, MARUTI BALENO DELTA PETROL",否,1,-1,8,0,1420,1254,0,0,
NH44P01SP,08:04:44.711,08:04:44.400,1,HP12P8644,"MARUTI SUZUKI INDIA LTD, MARUTI ALTO K10 VXI AMT (O)",否,2,-1,8,0,1384,1298,0,0,
NH44P01SP,02:56:46.108,02:56:45.800,1,HR97DH9722,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,1,2,8,0,1444,1481,0,0,
NH44P01SP,08:05:25.766,08:05:25.900,1,0,,跳過,3,-1,8,0,1206,1390,0,0,
NH44P01SP,04:14:48.750,04:14:48.400,1,JK03M3215,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI+",否,2,1,8,0,1418,1338,0,0,
NH44P01SP,08:06:23.367,08:06:23.483,1,HR75A670,HR-75,否,3,-1,8,0,1202,1365,0,0,
NH44P01SP,04:19:14.600,04:19:14.400,1,DL4CAY5757,"MARUTI SUZUKI INDIA LTD, MARUTI WAGON R GREEN LXI",否,2,-1,8,0,1361,1486,0,0,
NH44P01SP,04:34:42.098,04:34:41.800,0,0,,跳過,1,2,8,1,3653,3481,2790,2,34:43.3
NH44P01SP,08:12:48.750,08:12:48.695,1,HR60J7666,"TVS MOTOR COMPANY LTD, TVS STAR CITY+ (BS IV)",是,3,2,8,0,1294,1475,0,0,
NH44P01SP,05:01:28.657,05:01:29.200,1,HR45C1662,"BAJAJ AUTO LTD, BAJAJ MAXIMA C",是,2,-1,8,0,1426,1749,0,0,
NH44P01SP,08:17:05.762,08:17:05.600,1,HR45C6613,"BAJAJ AUTO LTD, BAJAJ MAXIMA Z CNG",是,3,2,8,0,1176,1640,0,0,
NH44P01SP,05:19:40.982,05:19:41.400,1,DL3CDD0928,"MARUTI SUZUKI INDIA LTD, EECO 5 STR AC (O)",否,2,1,8,0,1404,1641,0,0,
NH44P01SP,08:19:11.177,08:19:11.000,1,0,,跳過,2,-1,8,0,1426,1630,0,0,
NH44P01SP,05:25:00.512,05:25:00.600,1,JH01C0186,JH-01,否,1,2,8,0,1402,1243,0,0,
NH44P01SP,08:21:21.055,08:21:21.143,1,HR60G3525,"MARUTI SUZUKI INDIA LTD, EECO GREEN 5 SEATER W/AC",否,2,-1,8,0,1336,1637,0,0,
NH44P01SP,05:27:27.997,05:27:28.000,1,HR30AA2857,EECO 5 STR AC CNG,否,1,-1,8,0,1408,1594,0,0,
NH44P01SP,08:26:06.081,08:26:06.400,1,HR45E3368,"BAJAJ, BAJAJ RE CNG 4S FI",是,2,-1,8,0,1300,1726,0,0,
NH44P01SP,05:31:17.502,05:31:17.600,1,HR40J5393,"MARUTI SUZUKI INDIA LTD, WAGON R LXI CNG",否,1,2,8,0,1448,1499,0,0,
NH44P01SP,08:30:26.041,08:30:26.400,1,HR01A1802,HR-01,否,2,3,8,0,1412,1857,0,0,
NH44P01SP,05:53:06.805,05:53:07.000,1,MH01AL1114,"HYUNDAI MOTOR INDIA LTD, HUNDAI 1.1MAGNA",否,1,-1,8,0,1398,1261,0,0,
,PB70E1642,08:33:09.222,/RSUData/T0RawData/20260510/NH44P01SP/rear/1/8/20260510_08-33-09.222.jpg,,,,,,,,,,,,
NH44P01SP,08:33:14.829,,1,,,跳過,3,2,8,0,1176,1461,0,0,
NH44P01SP,05:55:14.756,05:55:14.600,1,HR06Z9935,"HONDA, HONDA ACTIVA",是,1,-1,8,0,1394,1249,0,0,
NH44P01SP,06:15:10.642,06:15:11.000,1,HR45R1215,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,2,-1,8,0,1290,1839,0,0,
NH44P01SP,08:33:48.687,08:33:49.000,1,0,,跳過,3,2,8,0,1432,1830,0,0,
NH44P01SP,06:21:37.676,06:21:38.000,1,0,,跳過,2,3,8,0,1302,1891,0,0,
NH44P01SP,08:34:50.710,08:34:51.000,1,0,,跳過,1,-1,8,0,1200,721,0,0,
NH44P01SP,06:38:43.802,06:38:43.800,1,HR02R0385,"HONDA, HONDA CITY ZX 1.5 GXI M/T",否,1,-1,8,0,1414,1339,0,0,
NH44P01SP,08:37:51.388,08:37:51.882,1,HR45C6508,"ATUL AUTO LTD, ATUL GEM PREMIUM 3P BS4 HT1",是,3,2,8,0,1402,1904,0,0,
NH44P01SP,06:39:08.013,06:39:08.457,1,0,,跳過,2,3,8,0,1324,1956,0,0,
NH44P01SP,08:38:38.444,08:38:39.000,1,HR45C0930,"PIAGGIO VEHICLES PVT LTD, APE AUTO DX CNG WATER COOLED",是,3,2,8,0,1372,1822,0,0,
NH44P01SP,07:14:21.412,07:14:21.859,0,HR64A1736,"MARUTI SUZUKI INDIA LTD, DZIRE VXI CNG",否,1,-1,8,1,1678,1349,2952,2,14:22.6
NH44P01SP,08:39:10.352,08:39:10.588,1,HR91B9188,"HERO MOTOCORP LTD, SPLENDOR+ I3S (DRS)",是,3,-1,8,0,1186,1240,0,0,
NH44P01SP,07:16:37.144,07:16:37.400,1,PB19K5429,"OTHERS, SHINE(SELF DRUM-ALLOY) 3ID",否,2,-1,8,0,1280,1400,0,0,
NH44P01SP,08:41:33.812,08:41:34.000,1,0,,跳過,3,-1,8,0,1194,1889,0,0,
NH44P01SP,07:20:40.304,07:20:40.200,1,HR06BK9767,"HERO, SPLENDOR+ (DRS)",是,2,-1,8,0,1210,1410,0,0,
NH44P01SP,08:46:33.529,08:46:33.800,1,0,,跳過,3,-1,8,0,1138,1470,0,0,
NH44P01SP,07:20:57.467,07:20:57.400,1,0,,跳過,2,3,8,0,1420,1673,0,0,
NH44P01SP,08:49:30.064,08:49:30.000,1,DL6CQ9841,"MARUTI SUZUKI INDIA LTD, MARUTI WAGON R LXI",否,1,-1,8,0,1364,1488,0,0,
NH44P01SP,07:22:27.341,07:22:27.000,1,HR02AW7208,"TATA MOTORS PASSENGER VEHICLES LTD, TATA TIGOR CNG XZ+ 1.2 RTN BS6",否,1,-1,8,0,1430,1358,0,0,
NH44P01SP,08:51:49.726,08:51:49.614,1,HR06BN1267,"BAJAJ, PLATINA 100 ES",是,3,-1,8,0,1144,1422,0,0,
NH44P01SP,08:52:31.441,08:52:31.200,1,PB10KD6238,"TATA, PUNCH ADV 1.2P MT",否,3,-1,8,0,1212,978,0,0,
60514_07-28-32.687.jpg,,,,,,,,,,,,,,,
NH44P01SP,07:28:45.863,07:28:46.200,1,0,,跳過,2,3,8,0,1220,1828,0,0,
NH44P01SP,08:52:37.391,08:52:37.600,1,0,,跳過,2,3,8,0,1396,1896,0,0,
NH44P01SP,07:31:02.735,07:31:02.400,1,HR05BN7981,"HONDA, AMAZE RDE VX CVT R (I-VTEC)",否,1,-1,8,0,1406,1279,0,0,
NH44P01SP,08:53:11.063,08:53:11.200,1,HR91D4689,"BAJAJ AUTO LTD, PLATINA 100 ES",是,3,-1,8,0,1124,1339,0,0,
NH44P01SP,07:38:28.392,07:38:28.600,1,0,,跳過,3,-1,8,0,1314,1236,0,0,
NH44P01SP,08:54:33.194,08:54:33.000,1,RJ29CB7242,"MARUTI, EECO 5 STR AC",否,1,-1,8,0,1390,1614,0,0,
NH44P01SP,07:42:14.894,,1,,,跳過,2,3,8,0,1342,1922,0,0,
NH44P01SP,08:59:29.293,08:59:29.600,1,0,,跳過,3,-1,8,0,1294,1460,0,0,
NH44P01SP,07:49:45.657,07:49:46.200,1,HR56C3066,"BAJAJ AUTO LTD, BAJAJ MAXIMA Z CNG",是,2,3,8,0,1304,1706,0,0,
NH44P01SP,09:00:15.251,09:00:15.400,1,HR07E6290,"MARUTI SUZUKI INDIA LTD, S-PRESSO VXI",否,1,-1,8,0,1444,1353,0,0,
NH44P01SP,07:51:07.016,07:51:07.320,1,HR05AZ4354,"MARUTI SUZUKI INDIA LTD, MARUTI ALTO K10 VXI AMT (O)",否,1,-1,8,0,1316,1295,0,0,
NH44P01SP,09:02:47.198,09:02:47.740,1,HR45C4986,"MARUTI SUZUKI INDIA LTD, MARUTI TOUR H2 CNG",否,3,-1,8,0,1202,1724,0,0,
NH44P01SP,07:51:11.880,07:51:12.600,1,HR69A5870,3118 TC,否,2,3,8,0,1412,1803,0,0,
NH44P01SP,09:07:44.118,09:07:44.200,1,H5D535,,無資料,2,3,8,0,1356,1763,0,0,
NH44P01SP,08:00:46.681,08:00:47.000,1,0,,跳過,2,-1,8,1,1430,1907,2952,2,00:47.3
NH44P01SP,09:22:12.335,09:22:12.600,1,0,,跳過,3,-1,8,0,1306,1821,0,0,
NH44P01SP,08:04:35.045,08:04:35.200,1,0,,跳過,3,2,8,0,1226,1367,0,0,
NH44P01SP,09:23:48.001,09:23:48.200,1,0,,跳過,3,-1,8,0,1174,1861,0,0,
NH44P01SP,08:08:39.274,08:08:39.600,1,HR05AN8123,"HYUNDAI MOTOR INDIA LTD, EON DLITE PLUS",否,1,-1,8,0,1320,1311,0,0,
NH44P01SP,09:28:07.872,09:28:07.600,1,DL8CAE7905,"HYUNDAI MOTOR INDIA LTD SANTRO GL MET BS-1V, SANTRO GL MET BS-1V",否,1,-1,8,0,1302,1387,0,0,
NH44P01SP,08:09:59.730,08:10:00.200,1,HR71H1264,"MARUTI SUZUKI INDIA LTD, MARUTI ALTO K10 VXI",否,1,-1,8,0,1390,1297,0,0,
NH44P01SP,09:28:32.573,09:28:33.200,1,HR45D4429,"BAJAJ AUTO LTD, BAJAJ MAXIMA CNG",是,2,1,8,0,1346,1835,0,0,
NH44P01SP,08:12:47.117,08:12:46.800,1,DP3CC4883,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,3,-1,8,0,1250,1483,0,0,
NH44P01SP,08:16:19.780,08:16:20.000,1,HR45E9607,"BAJAJ, BAJAJ MAXIMA Z CNG",是,2,3,8,0,1326,1643,0,0,
NH44P01SP,09:29:21.860,09:29:22.000,1,HR67C1696,"TVS MOTOR COMPANY LTD, TVS KING ZS+ (BS IV)",是,3,-1,8,0,1318,1862,0,0,
NH44P01SP,08:23:35.807,08:23:36.200,1,HR05AE2285,"MARUTI SUZUKI INDIA LTD, WAGON R LXI BS IV",否,1,2,8,0,1386,1428,0,0,
NH44P01SP,09:35:11.393,09:35:12.000,1,HR45C4813,"ATUL AUTO LTD, ATUL GEM PREMIUM 3P BS4 HT1",是,2,3,8,0,1434,1875,0,0,
NH44P01SP,08:23:52.594,08:23:52.800,1,0,,跳過,2,-1,8,0,1352,1885,0,0,
NH44P01SP,09:35:36.747,09:35:36.400,1,HR05AM9122,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI",否,1,-1,8,0,1428,1262,0,0,
NH44P01SP,08:24:00.038,08:24:00.372,1,HR45C0357,"BAJAJ AUTO LTD, BAJAJ MAXIMA CNG",是,2,-1,8,0,1382,1739,0,0,
NH44P01SP,09:36:57.172,,1,,,跳過,2,3,8,0,1170,1455,0,0,
NH44P01SP,08:26:48.017,08:26:48.387,1,HR06R6049,"MAHINDRA, MAHINDRA 265 B.P. TRACTORS",否,2,-1,8,0,1186,1294,0,0,
NH44P01SP,09:38:13.227,09:38:13.600,1,0,,跳過,2,3,8,0,1441,1873,0,0,
NH44P01SP,08:30:40.234,08:30:40.380,1,HR06M4613,"HERO, H. H. SPLENDER PLUS",是,2,-1,8,0,1172,1862,0,0,
NH44P01SP,09:43:09.936,09:43:09.600,1,HP28B4247,"MARUTI SUZUKI INDIA LTD, ALTO VXI",否,1,-1,8,0,1284,1294,0,0,
NH44P01SP,08:30:46.808,08:30:47.200,1,0,,跳過,2,-1,8,0,1226,1817,0,0,
NH44P01SP,09:43:36.585,09:43:37.096,1,HR42E9176,"MARUTI SUZUKI INDIA LTD, EECO 5 STR WITH A/C BSIV",否,3,-1,8,0,1442,1593,0,0,
NH44P01SP,08:33:25.954,08:33:26.000,1,HR67C4452,"PIAGGIO VEHICLES PVT LTD, APE AUTO DX CNG WATER COOLED",是,2,3,8,0,1366,1885,0,0,
NH44P01SP,09:44:21.119,09:44:21.400,1,0,,跳過,3,2,8,0,1156,1668,0,0,
NH44P01SP,08:35:25.215,08:35:25.400,1,PB07CF5724,"KIA, SONET D1.5 6MT HTK",否,2,-1,8,0,1242,1412,0,0,
NH44P01SP,09:44:38.899,09:44:39.200,1,0,,跳過,3,-1,8,0,1420,1608,0,0,
NH44P01SP,08:35:31.612,08:35:32.400,1,HR05BL1776,"MARUTI SUZUKI INDIA LTD, WAGON R LXI CNG",否,2,-1,8,0,1372,1671,0,0,
NH44P01SP,09:53:59.280,09:53:59.528,1,HR36AJ0140,"MARUTI SUZUKI INDIA LTD, CELERIO VXI CNG",否,2,-1,8,0,1424,1378,0,0,
NH44P01SP,08:37:17.157,08:37:16.800,1,HR29AQ5551,"MARUTI SUZUKI INDIA LTD, MARUTI WAGON R GREEN LXI",否,1,-1,8,0,1334,1449,0,0,
NH44P01SP,09:54:02.524,09:54:02.200,1,HR08AF8018,"MARUTI SUZUKI INDIA LTD, EECO 5 STR AC",否,1,-1,8,0,1422,1603,0,0,
NH44P01SP,08:41:28.064,08:41:28.000,1,HR05AM2844,BULLET 350 UCE,否,2,-1,8,0,1198,1385,0,0,
NH44P01SP,09:54:10.318,09:54:10.000,1,HR05AJ0182,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI",否,1,-1,8,0,1426,1279,0,0,
NH44P01SP,08:42:21.947,08:42:21.600,1,HR05AF9667,"BAJAJ, PLATINA M/CYCLE",是,2,-1,8,0,1214,1332,0,0,
NH44P01SP,09:54:51.910,09:54:52.200,1,0,,跳過,3,-1,8,0,1362,1708,0,0,
NH44P01SP,08:42:38.671,08:42:38.400,1,JK098940,"HYUNDAI MOTOR INDIA LTD, SANTRO (HYUNDAI)",否,1,-1,8,0,1416,1342,0,0,
NH44P01SP,09:55:56.929,09:55:57.061,1,0,,跳過,3,-1,8,0,1170,1443,0,0,
NH44P01SP,08:45:22.533,,1,,,跳過,3,-1,8,0,1346,564,0,0,
NH44P01SP,09:57:22.247,09:57:22.800,1,HR45C1398,"BAJAJ AUTO LTD , BAJAJ MAXIMA Z CNG",是,3,-1,8,0,1328,1777,0,0,
